transit_id,pl_period,pl_transit_duration,pl_transit_depth,pl_radius,pl_eq_temp,pl_insolation_flux,st_eff_temp,st_radius,st_logg
K01070.02,107.7214092,8.042,1396.2,4.75,421.0,7.39,5529.0,1.294,4.19
K01070.03,92.77779,6.64,359.0,1.92,410.0,6.7,5888.0,1.019,4.444
K01133.01,5.251916208,4.9095,10624.3,37.15,952.0,194.17,5542.0,0.872,4.52
K01203.02,14.12847677,3.685,628.7,2.73,739.0,70.5,5779.0,0.974,4.477
K01203.03,48.6478543,5.464,641.8,4.14,489.0,13.57,5779.0,0.974,4.477
K01074.01,3.770551475,3.8077,12440.0,12.05,1302.0,679.75,6322.0,1.075,4.426
K01138.01,31.82814583,2.917,4456.8,35.8,564.0,23.97,5908.0,0.92,4.507
K01141.01,5.72812616,2.0295,643.4,1.38,569.0,24.74,3968.0,0.548,4.714
K01006.01,30.6113932,3.576,3472.0,19.68,317.0,2.38,3900.0,0.534,4.727
K01009.01,5.09246539,3.659,254.0,1.17,844.0,119.7,5037.0,0.751,4.547
K01151.01,10.43547031,3.4167,210.2,1.22,759.0,78.35,5528.0,0.853,4.499
K01151.02,7.41084314,3.245,124.1,0.94,850.0,123.4,5528.0,0.853,4.499
K00949.01,12.53248222,4.0168,1145.9,3.24,775.0,85.15,5997.0,0.904,4.522
K01018.01,8.30697421,2.76,158.7,37.99,1246.0,570.93,5300.0,2.124,3.69
K01155.01,0.933746515,6.6522,2936.6,25.54,1508.0,1222.25,5252.0,0.716,4.596
