transit_id,pl_period,pl_transit_duration,pl_radius,st_eff_temp,st_radius
K01427.01,2.613020421,1.9588,1.5,3883.0,0.517
K01428.01,0.927859786,1.4279,1.79,4815.0,0.699
K01241.01,21.4054422,11.721,11.64,4838.0,4.361
K01241.02,10.5007712,14.522,5.68,4838.0,4.361
K00157.05,118.3786735,9.5574,3.4,5657.0,1.046
K01250.01,0.782045734,1.7945,45.05,6113.0,0.995
K01368.01,251.0597249,5.1095,44.2,5714.0,1.086
K01436.01,2.508553286,2.2664,1.28,5814.0,0.881
K01436.02,13.75129636,3.853,1.66,5814.0,0.881
K01253.01,3.611541977,8.6068,28.07,5203.0,0.802
K01256.01,9.991625291,3.8552,38.93,5874.0,1.096
K00157.06,10.30401132,4.2246,1.84,5657.0,1.046
K01374.01,0.890737359,1.9257,20.57,5687.0,1.169
K01436.03,5.41908491,2.3379,1.38,5814.0,0.881
K01258.01,36.33750453,7.06,5.3,5717.0,0.884
K01258.02,14.64613058,5.688,2.22,5717.0,0.884
K01258.03,148.272013,4.192,4.3,5717.0,0.884
K01451.01,27.32204488,5.6716,21.58,5620.0,0.772
K01262.01,14.17098745,3.4804,4.19,5107.0,0.777
K01327.01,15.6402515,6.222,18.11,5346.0,0.826
K01441.01,8.50698069,2.938,1.9,5822.0,0.986
K01267.01,5.93821065,2.5128,61.63,6123.0,0.85
K01383.01,3.221785738,3.3411,25.03,6250.0,1.041
K01387.01,23.799939273,5.02319,51.74,5934.0,0.957
K01446.01,1.22775877,2.7545,48.79,6207.0,1.044
K01448.01,2.48658617,2.7189,24.39,5892.0,1.198
K01273.01,40.05881661,5.595,3.43,5668.0,0.868
K01455.01,15.068060768,3.3011,16.43,5982.0,0.96
K01274.01,704.962626,18.003,4.53,5305.0,0.818
K01275.01,50.28635977,6.3212,3.88,5900.0,1.167
K01394.01,5.663621501,1.2968,2.47,4917.0,0.723
K01397.01,6.247030799,1.4848,1.89,3821.0,0.487
K01209.01,272.0868353,2.7145,5.95,5587.0,0.791
K01210.01,14.55387488,6.973,3.45,6143.0,1.507
K00157.01,13.02493307,4.5706,2.88,5657.0,1.046
K01212.01,11.30123036,4.022,1.85,5730.0,1.122
K01213.01,0.796722833,2.4551,1.44,5959.0,1.334
K01281.01,49.4781446,2.493,1.88,5776.0,0.849
K00167.01,4.919584997,4.1988,2.86,6236.0,1.378
K01405.01,11.41911886,5.135,3.32,6311.0,1.172
K00157.02,22.687155,5.4921,3.2,5657.0,1.046
K01287.01,4.429633087,3.0257,32.12,5344.0,0.809
K01347.01,14.405857436,5.48509,23.42,5945.0,1.346
K01349.01,16.66216657,3.8762,843.45,6440.0,1.169
K01352.01,4.81886153,6.223,2.96,5030.0,0.651
K01414.01,4.02378908,3.237,2.24,7516.0,3.685
K01415.01,0.312941621,2.0646,58.02,6286.0,1.188
K00157.03,31.99552485,4.2817,4.12,5657.0,1.046
K01419.01,1.336109338,1.7419,35.19,6119.0,0.967
K01298.01,11.00817635,2.013,2.15,4141.0,0.582
K01298.02,92.7495777,5.506,1.87,4141.0,0.582
K01300.01,0.63133171,1.1487,1.2,4441.0,0.53
K01301.01,12.69905011,2.9899,2.62,5291.0,0.882
K01237.01,14.32407216,4.6577,38.86,6022.0,1.039
K01301.02,37.5142128,5.303,2.68,5291.0,0.882
K00157.04,46.6856205,6.3794,2.52,5657.0,1.046
K01303.01,34.2966363,19.718,3.29,5490.0,1.167
K01602.01,9.97716876,5.908,2.53,5557.0,1.616
K01723.01,59.6222627,6.888,3.63,6108.0,0.997
K01495.01,15.59466045,5.0478,2.74,5900.0,0.929
K00174.01,56.35407916,3.4449,2.59,4802.0,0.701
K01559.01,1.332560589,4.2427,1.4,4489.0,0.609
K01613.01,15.86624787,4.25,1.31,6099.0,1.308
K01726.01,44.96407458,4.981,2.0,4827.0,0.729
K01497.01,0.520222869,1.2216,1.52,5776.0,0.889
K01619.01,20.6654374,3.172,0.66,4830.0,0.676
K01621.01,20.31047472,5.3357,2.41,6065.0,1.877
