transit_id,pl_period,pl_transit_duration,pl_radius,st_eff_temp,st_radius,ra,dec,source,isPlanet
K03043.02,7.2929891,4.053,0.73,5959.0,0.856,293.43079,46.692089,Kepler,1
K07668.01,2.5093344,1.833,1.47,6278.0,1.081,295.37204,38.897739,Kepler,1
K04177.01,1.089077224,2.705,1.0,5118.0,0.83,287.98569,46.3484,Kepler,0
K07663.01,2.31894284,5.321,0.87,5780.0,1.0,295.66324,38.718243,Kepler,0
K04246.01,6.98472143,2.724,1.19,5839.0,1.227,289.07397,40.366009,Kepler,1
K00566.03,42.068554,5.723,1.32,6122.0,0.964,292.31601,42.626251,Kepler,1
K04180.01,1.121634781,1.155,0.6,4518.0,0.72,288.44305,42.45676,Kepler,0
K02365.02,110.978266,11.312,1.86,5883.0,1.529,292.80865,49.579441,Kepler,1
K04183.01,0.952378454,3.892,1.46,6963.0,1.375,290.70651,48.226559,Kepler,0
K04253.01,173.2578372,2.027,117.29,6392.0,1.162,283.72552,45.676849,Kepler,1
K04395.01,1.920062587,1.437,1.12,5266.0,0.741,287.84,38.255489,Kepler,1
K04191.01,13.8452726,2.555,2.34,6845.0,2.324,292.47888,38.657921,Kepler,0
K04259.01,0.909127736,1.431,0.98,5486.0,0.996,290.01245,41.089989,Kepler,1
K04260.01,371.63327,14.92,1.83,5802.0,1.59,286.39584,43.075821,Kepler,0
K04328.01,407.59415,7.3,2.11,6198.0,0.974,291.69104,38.61499,Kepler,0
K02420.02,5.4675514,3.283,1.07,5557.0,1.151,288.58835,42.605659,Kepler,1
K07689.01,1.01530474,8.7622,64.77,6428.0,1.44,295.88568,39.31599,Kepler,0
K04264.01,0.888478095,1.5312,1.51,5553.0,0.806,291.06168,51.404781,Kepler,1
K04399.01,42.1003351,1.0834,1.42,5595.0,0.82,282.12888,44.303162,Kepler,1
K04197.01,1.33258458,3.222,1.25,6384.0,1.086,294.7005,46.573132,Kepler,0
K04269.01,26.6565737,4.954,4.15,5159.0,3.062,293.79684,45.160728,Kepler,1
K04269.02,4.4408541,8.083,1.74,5159.0,3.062,293.79684,45.160728,Kepler,1
K04338.01,10.78438513,1.408,75.04,5575.0,3.515,299.20667,45.64547,Kepler,0
K04406.01,0.519437968,2.129,20.48,6181.0,1.006,299.08536,40.774529,Kepler,0
K07684.01,10.2239787,1.814,24.43,4673.0,16.823,286.77161,39.266941,Kepler,0
K04272.01,1.21475168,6.93,5.5,6732.0,3.276,299.08658,45.776821,Kepler,0
K04273.01,17.3731821,3.36,1.31,6180.0,1.54,294.20984,46.479969,Kepler,1
K04619.01,62.366706,4.32,1.88,6749.0,1.9,287.39777,43.414341,Kepler,0
K04692.01,1.42856815,2.132,0.64,5979.0,0.822,290.44476,48.462891,Kepler,0
K03194.01,10.81315417,1.275,1.46,6380.0,1.46,286.62854,50.471272,Kepler,0
K04550.01,140.251943,6.576,1.84,4821.0,0.788,296.45776,41.266022,Kepler,1
K04694.01,19.2527652,4.862,1.24,6258.0,1.046,288.70859,46.018188,Kepler,1
K07680.01,219.20579,14.5,2.66,6990.0,1.785,295.31512,39.141048,Kepler,1
K04557.01,5.75651958,2.309,0.83,6208.0,1.024,283.70471,47.385288,Kepler,1
K04492.01,0.63938062,1.2067,51.53,6607.0,1.204,293.52997,45.66433,Kepler,0
K04634.01,4.02745396,1.33,0.98,6174.0,1.041,300.6496,44.05574,Kepler,1
K04705.01,1.4733245,1.406,1.03,5751.0,0.921,297.60236,40.803219,Kepler,1
K04706.01,101.952048,5.991,1.31,6210.0,1.054,297.27087,46.928421,Kepler,1
K07681.01,6.05552018,2.818,0.92,5352.0,0.805,295.47382,39.124561,Kepler,1
K04563.01,54.333582,10.545,1.7,5500.0,1.221,285.15942,47.88274,Kepler,1
K04636.01,122.749053,8.342,6.13,5619.0,0.976,292.98517,46.506569,Kepler,1
K04709.01,3.70858595,1.94,1.33,5420.0,0.771,291.64294,37.632408,Kepler,1
K04497.01,6.83006228,3.315,1.09,5807.0,0.8,289.26697,51.751221,Kepler,1
K04567.01,14.74426,8.168,8.1,6146.0,0.987,301.56284,44.240391,Kepler,1
K04568.01,0.933747395,4.798,1.24,5574.0,2.174,292.79254,47.576721,Kepler,0
K07682.01,58.873429,17.487,76.18,7078.0,1.568,295.49011,39.105862,Kepler,0
K04641.01,119.72007,9.48,1.26,5963.0,1.176,291.16129,38.710602,Kepler,0
K04643.01,5.59346375,1.668,1.43,5874.0,0.933,288.44839,49.714031,Kepler,1
K04644.01,3.44928111,1.424,1.23,5119.0,0.781,291.45734,37.206841,Kepler,1
K04715.01,53.285584,6.492,1.44,6015.0,1.057,283.57269,41.695728,Kepler,1
K04719.01,365.13981,4.46,1.86,5610.0,0.815,290.51251,43.10128,Kepler,0
K04513.01,3.91794676,2.549,0.94,5500.0,0.87,291.25027,45.655071,Kepler,1
K04727.01,1.215181097,1.295,0.87,6717.0,1.365,295.85498,44.301601,Kepler,0
K04729.01,3.74779583,3.157,1.06,6341.0,1.111,291.06143,50.22694,Kepler,0
K04730.01,9.07829171,0.783,3.69,5086.0,1.611,291.58875,44.907509,Kepler,1
K04731.01,0.91842238,5.664,16.07,5288.0,0.74,289.72168,45.439758,Kepler,0
K04449.01,5.00749378,2.898,1.68,5242.0,2.243,291.39969,44.473099,Kepler,0
K04519.01,148.568877,4.399,5.97,5814.0,2.985,288.01013,46.978519,Kepler,1
K04520.01,9.3335486,6.643,1.69,5354.0,1.863,295.21426,45.324509,Kepler,1
K04593.01,0.981399749,0.5051,1.21,6038.0,0.898,290.3602,44.273361,Kepler,0
K04594.01,0.643007769,0.69,0.35,3925.0,0.421,289.07382,40.977531,Kepler,0
K04458.01,358.818895,2.503,2.66,6056.0,0.918,300.29211,44.731041,Kepler,0
K07683.01,0.913244995,0.4931,0.77,5923.0,1.049,284.91156,39.298618,Kepler,0
K04598.01,0.824180121,2.839,17.8,5977.0,0.883,298.75528,40.665218,Kepler,0
K04601.01,7.94004281,3.282,0.98,6278.0,1.081,298.43478,48.706139,Kepler,1
K04465.01,2.21701025,2.148,1.16,7524.0,2.092,291.54626,37.817749,Kepler,0
K04606.01,2.44926655,2.988,0.76,4840.0,0.749,294.60608,39.920361,Kepler,0
K04675.01,2.17812826,2.601,0.81,5426.0,0.805,287.14621,47.183529,Kepler,0
K04469.01,0.894172544,0.8302,0.68,4982.0,0.736,289.75653,46.952888,Kepler,0
K04538.01,9.25801294,2.854,1.73,6200.0,1.834,299.51422,41.220589,Kepler,0
K04608.01,0.93479255,4.5838,24.75,6018.0,1.053,295.18976,42.523319,Kepler,0
K04611.01,1.67495622,2.994,0.77,6323.0,1.263,293.4678,48.12608,Kepler,0
K04680.01,54.0812235,6.279,1.54,5757.0,0.762,297.59964,39.626339,Kepler,1
K04471.01,0.942997994,1.1658,1.56,4499.0,0.693,292.8598,45.205791,Kepler,0
K04472.01,0.566796775,5.471,0.61,3453.0,0.358,291.08929,42.590969,Kepler,0
K04474.01,16.473474,4.201,1.63,5364.0,0.754,295.56357,39.417599,Kepler,1
K04904.01,3.5944891,2.557,0.98,5523.0,1.046,284.72797,45.064968,Kepler,1
K07712.01,4.8302364,7.983,1.06,5086.0,2.247,286.69318,40.170109,Kepler,1
K04909.01,1.65320144,1.525,0.74,4544.0,0.661,290.26178,37.787189,Kepler,0
K03301.01,20.7106368,2.693,1.12,5631.0,0.901,292.62964,44.283119,Kepler,1
K03302.01,69.3788597,3.807,2.07,5806.0,0.874,291.97253,44.12999,Kepler,0
K04772.01,3.38080537,3.275,1.69,6072.0,1.193,301.57855,44.31218,Kepler,1
K03214.01,11.49500229,7.602,1.53,6033.0,1.788,298.67377,43.795479,Kepler,1
K04842.01,283.72675,15.49,1.18,6496.0,1.257,289.08319,51.47406,Kepler,0
K03224.01,3.43861067,1.264,1.01,5383.0,1.401,281.32745,47.584869,Kepler,1
K03304.01,13.5437884,5.7076,32.21,5463.0,0.794,300.49106,45.796909,Kepler,0
K03307.01,10.5071781,2.68,1.41,5290.0,0.865,294.13626,41.456692,Kepler,1
K04772.02,9.0194714,5.92,1.07,5775.0,0.768,301.57855,44.31218,Kepler,1
K04846.01,19.254536,4.754,1.32,5668.0,0.868,298.28214,44.27206,Kepler,1
K00279.03,7.5143967,4.865,0.96,6206.0,1.573,295.48651,51.0135,Kepler,1
K04777.01,0.824000125,0.855,0.42,3396.0,0.28,287.26215,42.03231,Kepler,1
K03239.01,1.070982122,1.255,0.98,5717.0,1.433,298.89642,40.477009,Kepler,0
K03312.01,18.0939004,3.294,1.91,5904.0,0.867,286.50211,50.246189,Kepler,1
K03315.01,31.1748311,3.79,1.31,6086.0,0.921,289.83121,44.609859,Kepler,1
K04781.01,367.73299,10.158,2.1,6225.0,0.931,288.97574,41.279121,Kepler,0
K03241.01,8.21429932,3.099,1.66,6277.0,1.869,294.17792,46.191711,Kepler,0
K03326.01,14.77820911,5.395,44.48,6258.0,1.046,296.11771,48.664108,Kepler,0
K03327.01,15.60862948,6.6957,39.42,5569.0,0.829,297.983,48.555649,Kepler,0
K04788.01,2.17811908,1.468,0.8,6039.0,0.921,288.43149,45.918869,Kepler,0
K04861.01,29.1206519,2.89,1.6,5671.0,0.788,285.09976,41.874378,Kepler,1
K07715.01,25.8616058,7.78,1.12,6067.0,0.884,289.44324,40.253529,Kepler,1
K03208.01,2.131660527,1.8585,0.56,5849.0,0.997,296.67984,47.173313,Kepler,1
K04864.01,5.66494448,4.173,0.78,5888.0,1.13,285.45886,42.931049,Kepler,1
K03255.01,66.6504521,5.744,1.56,4550.0,0.679,297.34738,44.026939,Kepler,1
K03256.01,55.7002642,4.285,1.18,4267.0,0.67,295.95798,49.041012,Kepler,0
K03320.01,85.0624157,4.6964,21.26,5223.0,0.875,291.42685,42.164082,Kepler,1
K04794.01,24.5041103,6.065,1.03,5250.0,0.962,290.09427,41.742779,Kepler,1
K04870.01,1.12401084,3.052,0.61,5941.0,0.911,294.76459,39.762718,Kepler,0
K03218.01,1.21374652,3.371,0.59,6238.0,1.049,283.85147,47.24366,Kepler,0
K03259.01,72.9332762,3.829,2.45,5316.0,0.902,291.56476,38.074589,Kepler,1
K03261.01,12.27057043,3.002,1.67,6075.0,0.969,287.8674,50.595581,Kepler,1
K03263.01,76.87935893,2.3819,7.71,3638.0,0.436,285.09586,50.10096,Kepler,1
K07707.01,0.559517155,0.596,1.04,6462.0,1.309,298.27521,39.850971,Kepler,0
K04732.01,0.580725004,2.071,0.85,5471.0,0.841,282.17203,43.69651,Kepler,0
K04807.01,0.969824139,0.783,0.49,5780.0,1.0,287.55508,46.68224,Kepler,0
K04810.01,115.238544,7.653,3.17,5589.0,1.037,293.65369,39.31641,Kepler,1
K04885.01,9.33955596,2.058,2.67,5516.0,1.101,283.45764,46.819538,Kepler,1
K03271.01,19.5489666,1.78,1.89,5549.0,0.732,292.95819,42.854889,Kepler,1
K03271.02,7.41834569,2.462,1.12,5549.0,0.732,292.95819,42.854889,Kepler,1
K04744.01,3.39155966,3.87,0.49,5896.0,0.914,293.17435,40.950809,Kepler,0
K04814.01,1.33254897,3.083,32.84,4894.0,13.777,294.64285,46.549412,Kepler,0
K04815.01,18.3721835,3.738,1.12,5937.0,0.83,293.54733,42.828442,Kepler,1
K04746.01,0.98041685,0.919,0.75,4861.0,0.722,291.12454,37.986511,Kepler,0
K04748.01,6.64754478,1.961,1.72,6046.0,1.007,294.78433,49.4921,Kepler,1
K07710.01,1.23517588,5.476,1.59,5780.0,1.0,295.85056,39.947193,Kepler,0
K04818.01,3.79892774,4.112,1.46,6831.0,2.106,289.3483,46.05468,Kepler,1
K04893.01,6.58753699,2.043,1.51,6014.0,0.993,295.08194,50.344601,Kepler,1
K07723.01,357.82544,9.12,1.7,6131.0,1.312,292.20465,40.48563,Kepler,0
K03280.01,47.1607932,4.003,2.58,5936.0,0.965,286.12555,47.947609,Kepler,1
K03203.01,96.81647,10.227,3.19,6404.0,2.467,292.89218,38.270512,Kepler,1
K04822.01,3.51413723,3.919,0.69,6201.0,0.989,288.50702,46.406712,Kepler,1
K04824.01,0.821472455,2.433,0.92,4889.0,0.836,296.82028,42.514198,Kepler,0
K03287.01,51.1104797,7.712,1.6,5968.0,0.881,283.7706,42.027241,Kepler,1
K03289.01,29.8042694,3.107,24.73,5223.0,0.827,291.35443,40.588879,Kepler,0
K07699.01,1.003049079,7.9657,42.5,5775.0,0.844,295.7168,39.777142,Kepler,0
K04900.01,6.6716723,2.693,1.27,6086.0,1.021,284.57806,41.890259,Kepler,1
K04902.01,409.38645,13.78,1.78,4955.0,0.799,286.33545,46.917831,Kepler,1
K03293.01,25.95198823,14.602,39.94,6363.0,1.035,293.68362,38.994869,Kepler,0
K03502.01,12.4261177,28.5357,3.8,5713.0,0.851,297.59494,40.594139,Kepler,0
K03505.01,30.9604688,14.992,89.18,5367.0,3.558,295.07965,39.962528,Kepler,0
K07717.01,1.041619932,8.1218,30.94,5838.0,0.991,296.9136,40.258263,Kepler,0
K01613.02,94.094392,10.833,0.9,6099.0,1.308,285.47659,41.632717,Kepler,1
K03436.01,44.2018402,4.949,1.14,5002.0,0.753,283.98633,41.65041,Kepler,1
K03506.01,12.62530918,3.163,87.2,6878.0,1.844,301.14603,44.869659,Kepler,0
K03594.01,17.72722648,4.1376,35.18,6021.0,0.895,296.7345,39.186111,Kepler,0
K03595.01,100.40132734,9.7436,26.0,5903.0,1.1,296.22293,47.92392,Kepler,0
K03597.01,1.219034103,2.4494,40.46,5914.0,1.271,299.97156,45.811932,Kepler,0
K03440.01,33.0257179,6.032,2.21,5819.0,0.99,295.16721,38.637081,Kepler,1
K03441.01,25.366990665,5.9556,56.02,6208.0,1.024,285.43805,47.90345,Kepler,0
K03516.01,24.0612744,19.9438,83.77,6461.0,1.138,295.36603,46.377232,Kepler,0
K03599.01,6.30828538,2.48633,29.34,5069.0,0.78,294.16446,46.423988,Kepler,0
K03522.01,241.07074582,9.88863,76.53,9414.0,2.777,295.91083,50.40976,Kepler,0
K03523.01,106.17593813,10.4168,54.91,6038.0,1.141,296.90405,43.823891,Kepler,0
K03525.01,6.282033445,8.3777,144.85,6074.0,0.976,295.61261,39.195709,Kepler,0
K07780.01,5.3360574,3.877,1.52,6742.0,2.032,294.48404,41.869171,Kepler,1
K07749.01,133.6348207,1.584,1.89,5202.0,0.918,295.27301,41.168282,Kepler,1
K03609.01,2.995357359,6.57901,112.12,5949.0,1.94,299.13101,41.589901,Kepler,0
K03459.01,13.2226149,4.337,1.75,5931.0,0.863,292.33035,37.997059,Kepler,1
K01750.02,2.53742164,1.563,0.93,5447.0,0.917,293.30023,41.523338,Kepler,1
K03538.01,313.09275066,14.3447,47.52,5067.0,0.673,281.7179,44.873989,Kepler,0
K07782.01,0.566813677,2.458,0.77,6106.0,0.966,291.01138,41.906979,Kepler,0
K03539.01,157.32263943,21.9232,56.66,6109.0,0.989,284.51367,45.1203,Kepler,0
K03540.01,9.53040216,5.95809,60.49,5501.0,0.912,295.23196,38.925919,Kepler,0
K03629.01,1.922862476,3.4594,70.65,6408.0,1.303,291.44626,38.639778,Kepler,0
K03394.01,15.5764061,5.382,1.79,6214.0,1.076,290.23602,43.47065,Kepler,1
K03395.01,10.00506974,3.481,1.11,5912.0,0.924,286.54041,38.3326,Kepler,1
K03542.01,3.012476415,3.31903,58.77,6015.0,1.088,294.14001,39.08987,Kepler,0
K03397.01,35.8754482,3.972,2.35,6559.0,1.218,290.44928,41.535789,Kepler,1
K03550.01,2.148219541,2.94091,49.6,4694.0,0.672,289.25281,42.562611,Kepler,0
K03622.01,3.125821128,2.2163,110.58,6137.0,2.852,287.15167,42.110378,Kepler,0
K07739.01,6.6751871,2.372,1.09,5774.0,0.818,299.33994,40.925362,Kepler,0
K07756.01,0.94102954,4.415,1.41,5766.0,2.409,299.37268,41.236671,Kepler,0
K07757.01,10.828825742,0.7275,0.76,5862.0,0.785,288.65695,41.399529,Kepler,0
K03409.01,11.08260553,6.23,7.34,5125.0,2.196,293.25259,46.04903,Kepler,0
K03559.01,47.189437,11.555,66.71,5458.0,0.972,286.84851,39.304939,Kepler,0
K03341.01,27.0965146,8.42,2.13,5775.0,1.352,292.22977,40.808949,Kepler,1
K03341.02,11.5474983,6.684,1.48,5775.0,1.352,292.22977,40.808949,Kepler,1
K03417.01,91.078624,10.304,3.26,5915.0,1.008,282.65741,43.162521,Kepler,1
K07732.01,0.759768478,2.824,0.64,5481.0,0.815,290.48871,40.725182,Kepler,0
K03348.01,36.4337867,4.388,2.2,5566.0,1.099,294.69406,45.86684,Kepler,1
K07733.01,1.048130894,5.6707,4.52,7673.0,3.214,290.96094,40.896198,Kepler,1
K03493.01,46.7162336,7.259,2.03,5856.0,1.092,289.8288,45.10276,Kepler,1
K03352.01,10.35857039,2.577,1.68,5893.0,1.02,284.5321,43.98996,Kepler,1
K07762.01,8.5073512,2.266,1.38,5914.0,0.955,285.23715,41.497532,Kepler,1
K03356.01,26.0841212,6.141,1.35,6083.0,0.835,293.1651,41.746231,Kepler,1
K03429.01,15.8283833,3.643,1.8,5596.0,1.145,296.19614,45.634331,Kepler,1
K03429.02,8.74192361,4.235,1.94,5596.0,1.145,296.19614,45.634331,Kepler,1
K03429.03,26.936878,4.969,1.57,5878.0,0.998,296.19614,45.634331,Kepler,0
K03587.01,1.036592635,2.40749,463.05,4884.0,8.747,294.3616,50.30526,Kepler,0
K03360.01,91.4999978,19.5818,21.86,5263.0,0.774,279.85608,43.6679,Kepler,0
K03362.01,30.47639859,17.9728,43.01,5913.0,0.787,286.00461,38.28471,Kepler,0
K03670.01,2.64830047,2.6395,126.54,4839.0,9.278,293.09363,37.514511,Kepler,0
K03824.01,0.916326699,3.1427,50.7,6046.0,0.972,290.09695,41.97068,Kepler,0
K03899.01,0.7967202,4.25304,56.89,5780.0,1.0,294.35196,38.604702,Kepler,0
K03901.01,160.130899,13.775,6.67,6092.0,1.759,297.41443,46.060822,Kepler,1
K03750.01,1.507101452,5.2005,39.32,5884.0,0.876,297.26233,43.30434,Kepler,0
K03825.01,2.845746618,13.0719,135.99,5641.0,1.776,296.67532,40.650009,Kepler,0
K03828.01,8.58965725,8.9793,27.86,5697.0,0.892,298.82263,46.939129,Kepler,0
K03906.01,2.406574511,3.4382,26.22,6167.0,1.107,292.69342,46.793892,Kepler,0
K03830.01,1.031100362,2.9759,27.35,5666.0,0.752,296.14957,47.937832,Kepler,0
K03831.01,0.597933142,3.47133,63.46,5780.0,1.0,299.07919,40.828976,Kepler,0
K03911.01,1.79110997,2.0917,1.29,6040.0,0.999,287.40295,46.573978,Kepler,1
K03913.01,0.582895412,1.0528,5.87,6263.0,1.009,294.61252,47.343262,Kepler,1
K03688.01,2.119107262,7.5384,77.23,6381.0,1.423,294.30389,40.192558,Kepler,0
K03762.01,240.7990472,16.666,10.31,5758.0,1.385,296.66791,49.461861,Kepler,1
K07811.01,0.566814046,4.049,0.56,5724.0,0.827,291.08887,42.613899,Kepler,0
K03926.01,0.831741499,2.297,41.62,6343.0,1.14,294.75632,49.792091,Kepler,0
K07801.01,2.21396079,3.452,0.87,4922.0,0.823,284.31454,42.589321,Kepler,0
K03847.01,5.26641416,2.4404,2.62,6338.0,1.602,293.96725,42.833279,Kepler,0
K03917.01,0.695954898,1.469,2.58,6737.0,1.425,297.13989,49.381618,Kepler,0
K03923.01,158.3226379,2.1881,25.41,4340.0,0.572,293.07538,40.122139,Kepler,0
K03704.01,1.523298835,5.9083,38.95,5311.0,0.866,290.17883,37.848949,Kepler,0
K03858.01,3.204222652,2.7952,23.55,5139.0,0.741,291.04214,51.026321,Kepler,0
K02098.02,89.7224125,10.963,2.21,6429.0,1.262,284.978,41.420158,Kepler,1
K01986.02,7.12766417,2.491,1.21,5159.0,0.821,298.97217,44.132381,Kepler,1
K03863.01,53.556625,16.18,26.31,7643.0,3.618,300.40677,44.414188,Kepler,0
K03631.01,2.682767439,4.58143,70.67,5780.0,1.0,291.88657,44.224564,Kepler,0
K03632.01,3.711012492,3.3394,46.24,6141.0,1.117,289.69757,38.408852,Kepler,0
K03709.01,205.5833309,6.0353,42.69,6328.0,0.915,291.52313,37.887642,Kepler,0
K03789.01,2.347479696,26.25,60.5,5891.0,1.138,298.28323,45.130939,Kepler,0
K03790.01,0.890745373,1.9215,36.92,5780.0,1.0,295.78812,42.846355,Kepler,0
K03792.01,2.723858181,1.4313,7.13,4416.0,0.733,289.34863,50.482861,Kepler,0
K03865.01,3.255189932,2.7117,1.39,5807.0,1.256,292.52734,40.745201,Kepler,0
K03867.01,0.938750221,1.3568,1.46,5497.0,0.886,296.05405,45.827049,Kepler,1
K01992.02,27.3214242,4.836,3.61,5592.0,1.451,289.19958,49.305721,Kepler,1
K07806.01,0.566793534,4.714,122.64,3420.0,138.056,291.18686,42.591022,Kepler,0
K03797.01,7.50023955,2.916,21.06,5849.0,0.919,295.36914,40.787121,Kepler,0
K03873.01,63.3278636,47.0744,54.17,4919.0,5.198,291.55862,44.48819,Kepler,0
K03644.01,1.471060209,4.3708,165.15,8749.0,2.911,295.74377,50.830921,Kepler,0
K03799.01,1.327471395,5.2334,7.08,5232.0,0.777,299.81671,45.332821,Kepler,0
K03726.01,115.9943364,2.4136,13.66,4530.0,0.735,298.12396,42.403172,Kepler,0
K03727.01,0.623441636,1.46001,29.19,5319.0,0.654,296.59149,50.490028,Kepler,0
K03805.01,56.6993107,7.0706,539.16,4727.0,13.547,294.07938,39.729641,Kepler,0
K03655.01,2.897436854,3.2833,64.69,5780.0,1.0,300.87231,44.144318,Kepler,0
K03809.01,1.674690886,2.0179,29.78,6397.0,1.157,294.95724,45.405151,Kepler,0
K02078.02,161.515617,6.548,2.88,4243.0,0.641,295.25116,45.842972,Kepler,1
K03733.01,31.43284649,5.3541,57.21,5780.0,1.0,294.48807,46.334099,Kepler,0
K03815.01,4.7425521,1.11,7.27,6161.0,1.053,286.50876,41.922741,Kepler,1
K02027.01,3.635723653,2.1862,1.23,6422.0,1.295,290.33813,44.60387,Kepler,0
K01859.01,45.3968385,4.477,21.23,5649.0,0.705,292.17706,44.786598,Kepler,0
K02088.01,2.63009438,11.226,25.55,6338.0,1.091,294.39557,50.719589,Kepler,0
K03965.01,12.425580393,57.2012,21.34,4594.0,0.743,297.61902,40.568062,Kepler,0
K02322.01,332.74984,14.77,2.55,6372.0,1.112,295.03903,43.95454,Kepler,0
K02359.01,3.17275711,5.404,1.27,5058.0,0.739,296.28696,44.022671,Kepler,0
K01673.01,2.49047468,2.2003,1.53,6067.0,0.997,290.73367,40.43116,Kepler,0
K01785.01,1.219034472,2.151,9.82,5833.0,1.192,299.97183,45.809738,Kepler,0
K01954.01,7.37339245,2.883,13.73,6484.0,1.093,293.38184,46.098701,Kepler,0
K01795.01,2.972047661,1.198,24.74,4491.0,0.711,300.41727,46.335991,Kepler,0
K02391.01,0.93374232,6.552,18.29,5553.0,0.806,292.77484,47.451099,Kepler,0
K02396.01,0.495434094,1.2496,1.57,5529.0,0.936,293.97278,50.645142,Kepler,0
K02480.01,0.66682654,0.7847,1.49,3993.0,0.554,298.92639,44.00219,Kepler,1
K01689.01,1.507761203,3.096,31.77,5069.0,0.818,298.88397,41.662079,Kepler,0
K01694.01,3.690317047,1.3784,20.23,6120.0,1.054,294.01492,42.139191,Kepler,0
K01896.01,1.854493861,4.2367,29.39,5431.0,0.843,298.73807,47.381741,Kepler,0
K02663.01,9.88736642,4.23,0.68,5693.0,0.816,294.99725,43.435921,Kepler,1
K02742.01,0.789160884,0.9268,0.91,4258.0,0.622,297.07379,41.22448,Kepler,1
K03983.01,5.14072621,27.24,19.28,5751.0,1.035,298.55258,47.247318,Kepler,0
K03986.01,9.60853601,3.672,31.99,6377.0,1.158,293.09589,47.996578,Kepler,0
K01703.01,3.17463577,10.988,9.32,5999.0,0.996,296.74991,42.952358,Kepler,0
K01719.01,1.332561398,4.103,2.16,6468.0,1.602,295.25388,46.76136,Kepler,0
K07853.01,364.14397,15.37,2.2,6039.0,0.951,288.59802,43.681469,Kepler,0
K01774.01,2.368173896,2.346,10.92,5944.0,0.991,284.86145,49.026989,Kepler,0
K02793.01,4.49686066,1.7306,1.93,3698.0,0.444,288.25058,46.679611,Kepler,1
K01636.01,2.61841046,3.304,1.12,5912.0,0.82,299.06693,47.895191,Kepler,0
K02591.01,0.755109106,2.967,0.85,5452.0,0.815,284.37183,40.712971,Kepler,0
K02599.01,25.3239215,70.405,19.02,5128.0,0.668,291.40079,47.924629,Kepler,0
K02612.01,4.61225043,2.695,0.51,5495.0,0.961,297.14883,46.296951,Kepler,1
K03992.01,0.73094701,4.223,15.83,5767.0,0.837,289.80423,38.370708,Kepler,0
K03999.01,3.43525124,4.509,25.43,5854.0,1.742,290.38721,37.47818,Kepler,0
K01949.01,0.993488979,1.9694,17.9,5811.0,0.998,292.91891,38.206692,Kepler,0
K02860.01,103.4269873,5.03,3.16,6208.0,1.024,291.92255,42.00256,Kepler,1
K04003.01,1.89129881,5.294,0.86,5806.0,0.893,290.35153,37.94857,Kepler,0
K04005.01,178.139072,9.654,2.25,5431.0,0.879,280.80157,44.033989,Kepler,1
K01772.01,120.00336404,3.3803,15.08,4315.0,0.668,292.30069,38.402142,Kepler,1
K01903.01,1.540395781,1.6305,0.94,4955.0,0.735,286.95236,38.918331,Kepler,0
K03934.01,1.92149487,1.891,79.14,6831.0,2.247,294.34845,46.390755,Kepler,0
K03935.01,1.093665854,1.4399,1.29,5845.0,0.874,296.9028,41.198189,Kepler,1
K02172.02,116.583183,5.8,2.91,5738.0,0.981,295.164,39.201408,Kepler,1
K04009.01,175.13892,10.767,3.06,5497.0,1.241,283.3457,45.27446,Kepler,1
K07844.01,1.302061421,1.8238,92.86,7757.0,2.783,294.96756,43.277409,Kepler,0
K03938.01,5.59187448,1.6782,104.18,3915.0,58.325,295.29874,38.930496,Kepler,0
K03940.01,14.53682228,3.195,73.15,4946.0,5.855,294.31287,40.319721,Kepler,0
K07833.01,172.820248,7.343,2.22,6174.0,0.939,296.78555,42.880291,Kepler,1
K02240.01,63.909601,11.85,0.76,5227.0,0.643,290.88684,47.326679,Kepler,0
K03941.01,1.061935973,3.3177,24.17,6274.0,1.062,288.90982,44.60836,Kepler,0
K00266.01,25.30893566,5.7704,1.77,5949.0,1.292,295.40433,42.981422,Kepler,1
K01956.01,2.759573341,6.999,6.42,5640.0,0.863,298.0607,40.960732,Kepler,0
K02270.01,7.35390869,2.061,2.29,6385.0,2.327,298.26663,46.412991,Kepler,0
K03950.01,2.189092892,5.1128,33.45,6106.0,0.966,285.87708,39.690689,Kepler,0
K03951.01,2.40435335,4.07,3.05,6103.0,3.358,299.70813,40.921909,Kepler,0
K01611.01,41.077590334,6.20583,23.2,4451.0,0.62,289.07571,51.757439,Kepler,0
K01817.01,63.934965,12.71,44.59,5209.0,1.595,299.59305,43.693089,Kepler,0
K01951.01,37.3228722,7.2146,35.34,4907.0,19.53,284.51019,43.961658,Kepler,1
K01752.01,16.6094904,3.189,1.82,6047.0,1.05,300.43979,43.930729,Kepler,0
K02284.01,2.69787749,1.915,1.5,5609.0,1.348,291.69385,38.964069,Kepler,0
K07836.01,471.65421,3.456,4.11,6061.0,1.653,295.87747,42.983631,Kepler,0
K02065.01,80.2321467,4.656,3.24,5436.0,0.888,282.86319,41.79668,Kepler,1
K03959.01,1.332567005,6.3373,27.36,6388.0,1.223,292.60968,45.708881,Kepler,0
K03962.01,0.697996932,4.3323,28.06,5176.0,0.695,299.33234,40.69503,Kepler,0
K03963.01,6.63449721,22.982,85.25,6487.0,2.817,295.73996,38.862282,Kepler,0
K02612.02,7.57299816,2.645,0.53,5495.0,0.961,297.14883,46.296951,Kepler,1
K01871.02,32.376183,4.4639,2.26,4580.0,0.675,285.25366,46.582191,Kepler,1
