transit_id,pl_period,pl_transit_duration,pl_radius,st_eff_temp,st_radius,ra,dec,source,isPlanet
K01057.01,1.303859704,2.8239,0.98,6802.0,1.521,298.13794,41.334358,Kepler,0
K01117.01,11.08956602,6.2877,3.51,6353.0,2.867,291.03192,38.21196,Kepler,1
K01059.01,1.022678654,1.3712,1.14,5366.0,1.02,296.68045,41.38652,Kepler,1
K01060.01,12.10968709,6.3461,2.98,6021.0,1.458,293.08463,41.135441,Kepler,1
K01060.02,4.75796103,4.66,1.7,6021.0,1.458,293.08463,41.135441,Kepler,1
K01060.03,20.4972755,8.536,2.96,6021.0,1.458,293.08463,41.135441,Kepler,1
K01121.01,14.15402428,4.47001,53.25,5850.0,1.037,290.35294,41.769741,Kepler,0
K00991.01,12.06222962,2.0584,1.62,5547.0,0.933,296.49612,47.182861,Kepler,1
K01060.04,8.19345065,5.234,1.74,6021.0,1.458,293.08463,41.135441,Kepler,1
K00140.01,19.97867,10.168,6.85,9651.0,1.895,299.15353,40.286961,Kepler,0
K01188.01,2.988085455,3.68,21.81,5497.0,0.809,294.07071,38.981331,Kepler,0
K01066.01,5.714817603,3.14126,9.29,5695.0,0.842,299.78632,44.16954,Kepler,1
K01005.01,35.61760233,8.4559,5.17,5123.0,0.779,288.4165,41.0298,Kepler,1
K01073.01,1.613001111,2.394,1.25,5580.0,1.205,300.32898,44.151119,Kepler,0
K01074.01,3.770551475,3.8077,12.05,6322.0,1.075,291.27563,47.329491,Kepler,1
K01141.01,5.72812616,2.0295,1.38,3968.0,0.548,282.72406,44.34647,Kepler,1
K01143.01,7.44042933,2.991,2.74,5815.0,0.877,296.30762,44.21146,Kepler,0
K00137.01,7.641567589,3.41018,4.91,5356.0,1.055,298.07944,44.746319,Kepler,1
K01145.01,30.5872153,5.3698,2.32,5944.0,1.082,296.54861,44.264671,Kepler,1
K01147.01,2.6827683,2.957,1.19,6180.0,1.223,291.89075,44.223728,Kepler,0
K00945.01,25.8474958,5.985,2.4,6297.0,1.031,297.9516,46.264721,Kepler,1
K00945.02,40.715561,6.894,2.7,6297.0,1.031,297.9516,46.264721,Kepler,1
K01013.01,0.51872711,1.252,19.07,5572.0,0.762,293.38556,41.349819,Kepler,0
K00137.02,14.85890852,3.5252,5.94,5356.0,1.055,298.07944,44.746319,Kepler,1
K01085.01,7.71790675,1.84,0.9,3975.0,0.509,281.05011,47.188148,Kepler,1
K00137.03,3.504691252,1.9811,2.03,5356.0,1.055,298.07944,44.746319,Kepler,1
K01160.01,13.21409607,3.5641,2.77,5333.0,0.728,287.65363,47.41481,Kepler,1
K00013.01,1.763587535,3.16877,21.42,9107.0,3.031,286.97119,46.868359,Kepler,1
K01095.01,51.59809554,2.0153,6.57,5681.0,0.859,287.61688,38.402321,Kepler,1
K01097.01,10.9110487,7.033,2.36,5903.0,0.864,290.89407,38.435032,Kepler,0
K00960.01,15.801100028,6.37505,15.61,5383.0,0.789,295.47067,44.010738,Kepler,0
K01035.01,1.217266418,3.3208,14.49,6631.0,1.638,292.76434,41.27528,Kepler,0
K01037.01,3.7228551,12.8164,5.67,5873.0,0.863,291.98337,41.555111,Kepler,0
K01165.01,7.053934488,1.7244,2.36,5357.0,0.863,291.06293,47.484798,Kepler,1
K01165.02,4.29263699,2.7,0.68,5357.0,0.863,291.06293,47.484798,Kepler,1
K00961.01,1.213770423,0.5532,0.78,3292.0,0.148,292.21906,44.61916,Kepler,1
K00961.02,0.453287416,0.4445,0.76,3292.0,0.148,292.21906,44.61916,Kepler,1
K00961.03,1.865114193,0.4279,0.66,3292.0,0.148,292.21906,44.61916,Kepler,1
K01041.01,19.56313723,6.8575,9.73,5766.0,1.077,297.52863,41.259911,Kepler,0
K01427.01,2.613020421,1.9588,1.5,3883.0,0.517,287.85773,48.774109,Kepler,1
K01428.01,0.927859786,1.4279,1.79,4815.0,0.699,290.95755,49.203812,Kepler,1
K01241.01,21.4054422,11.721,11.64,4838.0,4.361,293.75836,41.871868,Kepler,1
K01241.02,10.5007712,14.522,5.68,4838.0,4.361,293.75836,41.871868,Kepler,1
K00157.05,118.3786735,9.5574,3.4,5657.0,1.046,297.11511,41.909142,Kepler,1
K01250.01,0.782045734,1.7945,45.05,6113.0,0.995,290.26767,44.712849,Kepler,0
K01368.01,251.0597249,5.1095,44.2,5714.0,1.086,290.20236,42.955891,Kepler,0
K01436.01,2.508553286,2.2664,1.28,5814.0,0.881,283.98297,49.23299,Kepler,1
K01436.02,13.75129636,3.853,1.66,5814.0,0.881,283.98297,49.23299,Kepler,1
K01253.01,3.611541977,8.6068,28.07,5203.0,0.802,301.35507,44.492271,Kepler,0
K01256.01,9.991625291,3.8552,38.93,5874.0,1.096,301.04239,45.022888,Kepler,0
K00157.06,10.30401132,4.2246,1.84,5657.0,1.046,297.11511,41.909142,Kepler,1
K01374.01,0.890737359,1.9257,20.57,5687.0,1.169,295.78595,42.84428,Kepler,0
K01436.03,5.41908491,2.3379,1.38,5814.0,0.881,283.98297,49.23299,Kepler,1
K01258.01,36.33750453,7.06,5.3,5717.0,0.884,294.10818,44.770699,Kepler,1
K01258.02,14.64613058,5.688,2.22,5717.0,0.884,294.10818,44.770699,Kepler,1
K01258.03,148.272013,4.192,4.3,5717.0,0.884,294.10818,44.770699,Kepler,1
K01451.01,27.32204488,5.6716,21.58,5620.0,0.772,283.2413,46.378471,Kepler,0
K01262.01,14.17098745,3.4804,4.19,5107.0,0.777,296.93393,44.853642,Kepler,0
K01327.01,15.6402515,6.222,18.11,5346.0,0.826,293.61121,39.417519,Kepler,0
K01441.01,8.50698069,2.938,1.9,5822.0,0.986,294.68027,49.14016,Kepler,1
K01267.01,5.93821065,2.5128,61.63,6123.0,0.85,299.2749,44.55349,Kepler,0
K01383.01,3.221785738,3.3411,25.03,6250.0,1.041,291.92065,45.247028,Kepler,0
K01387.01,23.799939273,5.02319,51.74,5934.0,0.957,290.49307,45.205898,Kepler,0
K01446.01,1.22775877,2.7545,48.79,6207.0,1.044,289.04999,51.418369,Kepler,0
K01448.01,2.48658617,2.7189,24.39,5892.0,1.198,289.80521,46.491711,Kepler,0
K01273.01,40.05881661,5.595,3.43,5668.0,0.868,286.01587,45.007771,Kepler,1
K01455.01,15.068060768,3.3011,16.43,5982.0,0.96,295.4783,39.867722,Kepler,1
K01274.01,704.962626,18.003,4.53,5305.0,0.818,283.25681,45.08778,Kepler,1
K01275.01,50.28635977,6.3212,3.88,5900.0,1.167,299.22162,44.693871,Kepler,1
K01394.01,5.663621501,1.2968,2.47,4917.0,0.723,284.79102,45.228989,Kepler,0
K01397.01,6.247030799,1.4848,1.89,3821.0,0.487,299.6777,45.972328,Kepler,1
K01209.01,272.0868353,2.7145,5.95,5587.0,0.791,288.31436,38.693291,Kepler,1
K01210.01,14.55387488,6.973,3.45,6143.0,1.507,293.59583,39.02948,Kepler,1
K00157.01,13.02493307,4.5706,2.88,5657.0,1.046,297.11511,41.909142,Kepler,1
K01212.01,11.30123036,4.022,1.85,5730.0,1.122,292.00681,38.820728,Kepler,1
K01213.01,0.796722833,2.4551,1.44,5959.0,1.334,294.35049,38.602131,Kepler,0
K01281.01,49.4781446,2.493,1.88,5776.0,0.849,286.96683,44.992489,Kepler,1
K00167.01,4.919584997,4.1988,2.86,6236.0,1.378,294.4639,49.765041,Kepler,1
K01405.01,11.41911886,5.135,3.32,6311.0,1.172,283.57422,45.734798,Kepler,1
K00157.02,22.687155,5.4921,3.2,5657.0,1.046,297.11511,41.909142,Kepler,1
K01287.01,4.429633087,3.0257,32.12,5344.0,0.809,282.23273,48.271198,Kepler,0
K01347.01,14.405857436,5.48509,23.42,5945.0,1.346,293.02036,42.508835,Kepler,0
K01349.01,16.66216657,3.8762,843.45,6440.0,1.169,286.30026,42.374828,Kepler,0
K01352.01,4.81886153,6.223,2.96,5030.0,0.651,294.09109,42.491459,Kepler,0
K01414.01,4.02378908,3.237,2.24,7516.0,3.685,301.26144,45.104893,Kepler,0
K01415.01,0.312941621,2.0646,58.02,6286.0,1.188,293.38153,48.82476,Kepler,0
K00157.03,31.99552485,4.2817,4.12,5657.0,1.046,297.11511,41.909142,Kepler,1
K01419.01,1.336109338,1.7419,35.19,6119.0,0.967,285.41196,48.725231,Kepler,0
K01298.01,11.00817635,2.013,2.15,4141.0,0.582,293.61371,47.839001,Kepler,1
K01298.02,92.7495777,5.506,1.87,4141.0,0.582,293.61371,47.839001,Kepler,1
K01300.01,0.63133171,1.1487,1.2,4441.0,0.53,291.59409,48.44561,Kepler,1
K01301.01,12.69905011,2.9899,2.62,5291.0,0.882,293.14648,47.729649,Kepler,1
